,content,annotation,extras
69,"you should have her talk to @junsten about that. Similarly  he once told me  completely out of the blue  ""I'd hate to be a bird.""","{'notes': '', 'label': ['1']}",
70,I nominate @PRsarahevans for a Shorty Award in #socialmedia because... Shes damn good at everything to do with Social Media.,"{'notes': '', 'label': ['1']}",
71,Captain Jean Luc Pic-card of the USS Enter-prize  Captain Jean Luc Pic-Y'KNOW WHAT? FUCK YOU  TEMPLESMITH!,"{'notes': '', 'label': ['1']}",
72,FUCK YOU RIGHT IN THE FILTHY PUCKERING SPHINCTER YOU CALL A SOUL!,"{'notes': '', 'label': ['1']}",
73,another downside to living in DSM but working in Indianola:  lunch meetups are usually not possible. :( damn isolation!!!,"{'notes': '', 'label': ['1']}",
74,"there's nothing better than listening to music on shuffle and hearing you say ""you bitch!"" randomly in the middle of it.","{'notes': '', 'label': ['1']}",
75,I got it. How many damn websites do u have homie! Sheesh!,"{'notes': '', 'label': ['1']}",
76,U know they all the same dame spot! I bet ya'll got the same damn middle eastern type of cats cooking that crack up too!,"{'notes': '', 'label': ['1']}",
77, kno I check ur blog out! Alpha females vs being a bitch.....damn u be analyzing!,"{'notes': '', 'label': ['1']}",
78,haris i m trying to control my fat tummy did'nt eat from 2 days :D,"{'notes': '', 'label': ['1']}",
79,700. you glutinous bitch!,"{'notes': '', 'label': ['1']}",
80,Ok  you're starting to sell me on these vinyl toys (damn  that sounds bad),"{'notes': '', 'label': ['1']}",
81,So true  so true.  Lame ass people are now officially off my radar!!!! Bu-bye!,"{'notes': '', 'label': ['1']}",
82,lo thankyou.. will see you soon :) and i hav to send a mail to u damn!,"{'notes': '', 'label': ['1']}",
83,Have you tried 'fuck' and 'Fuck'? (yes  they are different),"{'notes': '', 'label': ['1']}",
84,Well  not unless he wants some hot Vulcan action.  It only happens once every seven years  but damn  is it worth it.,"{'notes': '', 'label': ['1']}",
85,damn i was hoping for some cash out of this... how bout 5 for pain and suffering lol,"{'notes': '', 'label': ['1']}",
86,that sucks... she should prolly just change her major lol,"{'notes': '', 'label': ['1']}",
87,that sucks... so are there plans to get back together? or are they done?,"{'notes': '', 'label': ['1']}",
88,you are a fatty fat fat,"{'notes': '', 'label': ['1']}",
89,you never posted your blog. and today is guest blog day. get with the program my slut pink zebra. LOL loveee you anyway!,"{'notes': '', 'label': ['1']}",
90,they're not gross. U shaddup u fat ass HATER!!! & yes I made them for mark & my son.,"{'notes': '', 'label': ['1']}",
91,no one likes every fat snack u do bitch! so shaddup ahahahahaha,"{'notes': '', 'label': ['1']}",
92,stop the hateration bitch! it's only gonna make that mohawk stand up rotf!!!,"{'notes': '', 'label': ['1']}",
93,ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???,"{'notes': '', 'label': ['1']}",
94,'Night Guy' is ALL motivated @ 11pm but he knows 'Morning Guy' is gonna hate him when Miss Emily arrives at 5:30am ;-) Night Tweets!,"{'notes': '', 'label': ['1']}",
95,OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;),"{'notes': '', 'label': ['1']}",
96,mythbusters is a great and nerdy show. Embrace your inner nerd..no suprise they were on the launch of youtube live ha NERDZ ROOL,"{'notes': '', 'label': ['1']}",
97,"lol @ ""the bitch"". damn.","{'notes': '', 'label': ['1']}",
98,damn. thats crazy early. i wont hit the city til 9:30 but i will be a few blocks from the spot.,"{'notes': '', 'label': ['1']}",
99,Slurpees are awesome. Damn  now I really really want one O.o,"{'notes': '', 'label': ['1']}",
100,"I can see it now. ""Listen  you cow-loving yahoos  just put all of the slurpee in this bag! What? Cups? I don't need fucking cups!","{'notes': '', 'label': ['1']}",
101,i loved it  i laughed my ass off,"{'notes': '', 'label': ['1']}",
102,ahh  you might be on to something...damn techies,"{'notes': '', 'label': ['1']}",
103,The pig of shame? Lol! Is that like the aardvark of discontent?,"{'notes': '', 'label': ['1']}",
104,Still - it's damn moronic that media people can't access media - particularly media made by their own company!,"{'notes': '', 'label': ['1']}",
105,if anyone said Arial I'm gonna beat their ass.,"{'notes': '', 'label': ['1']}",
106,well find him and kick his butt too! I hate it when people take advantage of the mentally challenged.,"{'notes': '', 'label': ['1']}",
107,Tell her she says Bitch like it's a bad thing,"{'notes': '', 'label': ['1']}",
108,I did have a moment of seriously considering that. I mean... my Dirt Devil sucks. But I didn't plan on buying a new one soon,"{'notes': '', 'label': ['1']}",
109,Ugh! I hate when I get spam followers... They shouldn't count against our talley of actual followers... :-p,"{'notes': '', 'label': ['1']}",
110,You know what you are? You're like a big bear with claws and with fangs... big fucking teeth  man.,"{'notes': '', 'label': ['1']}",
111,Damn  you're totally geeking out on us tonite.,"{'notes': '', 'label': ['1']}",
112,the eagle w/ @leahsairy ... Decided 2 not do power lesbian night @ mecca & hang out w/ our real queer ppl 2night. gr8 indy band. Emo punk.,"{'notes': '', 'label': ['1']}",
113,we are so silly and pathetic and so fucking cool! You tellin me you choking made me choke! And I am sitting next to some girl w ...,"{'notes': '', 'label': ['1']}",
114,Let your hate for Gambit grow. Embrace it. Spread it.,"{'notes': '', 'label': ['1']}",
115,dig deep and find that special Christmas hate!,"{'notes': '', 'label': ['1']}",
116,I tried to rickroll my office christmas party last night but the damn band didn't know it!,"{'notes': '', 'label': ['1']}",
117,even though I was at the same lunch as you  we missed you at our end of the table! Need a damn smart phone! Coulda tweeted back.,"{'notes': '', 'label': ['1']}",
118,Smack a bitch? :-D,"{'notes': '', 'label': ['1']}",
119,rock  not the. He gives the emo populists limp wrist rocker throw.,"{'notes': '', 'label': ['1']}",
120,Already on the coffee. I love her  but hate the whole spite thing. Climbed right on top of me to do it!,"{'notes': '', 'label': ['1']}",
121,i feel fucking great get me another drink,"{'notes': '', 'label': ['1']}",
122,"You've got 5"" of snow?  Damn.  I'm jealous.","{'notes': '', 'label': ['1']}",
123,It just sucks that so many use it as a crutch.,"{'notes': '', 'label': ['1']}",
124,They say I have the best ass this side of fourteenth street.,"{'notes': '', 'label': ['1']}",
125,yes i love the pillows  livejournal jrock rotations (get an lj  they're sick) and uhh fuck i dunno  twitter?? just the site,"{'notes': '', 'label': ['1']}",
126,ha not that creepy. because it's week 10 and I'm fucking stressed out as hell. I wish I could take a trip down there x.x,"{'notes': '', 'label': ['1']}",
127,Fuck  amen to that,"{'notes': '', 'label': ['1']}",
128,Aww... Dnt hate the weather  rain can be so soothing sometimes!^^ I still have one more test DD:,"{'notes': '', 'label': ['1']}",
129,I knw!!!!!  I hate that! D:,"{'notes': '', 'label': ['1']}",
130,Aww. Thanks dear. And I hate my gradeschool friends for ditching me. They forgot about me when we are suppose to be at her wake.=(,"{'notes': '', 'label': ['1']}",
131,yeah. i had to beg the stupid teacher. it was so gay.,"{'notes': '', 'label': ['1']}",
132,yeah we all call her a whore and shes all don't call me that! So i called her a slut. And she said im a tease! And i told her  ...,"{'notes': '', 'label': ['1']}",
133,told ya she was fat! she's loyal tho  she has this goin for her...,"{'notes': '', 'label': ['1']}",
134,if you tweet about that damn song one more time.... And its on the Scion double disc promo cd,"{'notes': '', 'label': ['1']}",
135,I have all th nerd at home and I'm a smart ass too. So I answered you,"{'notes': '', 'label': ['1']}",
136,u got me lemming for some laneige whitening shit! ive been breakin out lately n i need somethin to whiten my damn acne scars bleh,"{'notes': '', 'label': ['1']}",
137,you're not a twitter slut until you show us full frontal nudity... so until then you're just a tease =P,"{'notes': '', 'label': ['1']}",
138,haha... so you want to be a twitter slut... alright  fine... i'll be waiting for the moment you mature from a tease to a slut!,"{'notes': '', 'label': ['1']}",
139,and there were only 5 of us.. it was a night that i've already forgotten... damn the alcohol,"{'notes': '', 'label': ['1']}",
140,I like the verses to the song....just not that lame ass auto tuning nigga on the hook,"{'notes': '', 'label': ['1']}",
141,hold up nigga..u cant hate Jay-Z...might have to beat yo ass like that nigga did when that other guy said F Tupac...lmao,"{'notes': '', 'label': ['1']}",
142,way to damn hard,"{'notes': '', 'label': ['1']}",
143,"the explosion of social media into mainstream business.  We will see everyone joining Twitter  its the ""year of the nerd""","{'notes': '', 'label': ['1']}",
144,but...but...to hate them is sin!!! just give me the ones you get angry with...i'll take care of them! hahaha,"{'notes': '', 'label': ['1']}",
145,DOGS LICK THEIR ASS...NEED I SAY MORE? DOG.,"{'notes': '', 'label': ['1']}",
146,No  I HATE those commercials! Just GROSS. *gag* Okay okay  you've got an hour before showtime. hehehe &#9829;,"{'notes': '', 'label': ['1']}",
147,it was a joke haha. i figured id be emo too since everyone is complaining on here,"{'notes': '', 'label': ['1']}",
148,It sucks though when you have nothing to do at 4AM and your roommate wants to sleep.,"{'notes': '', 'label': ['1']}",
149,o so the rumors are true i am OBESE! yea fat!,"{'notes': '', 'label': ['1']}",
150,girlfriend where the fuck did u find that photo! lmao!,"{'notes': '', 'label': ['1']}",
151,ur a damn fool lmao,"{'notes': '', 'label': ['1']}",
152,They're not my preference  but the app is so damn fast and thorough that I let it slide.,"{'notes': '', 'label': ['1']}",
153, Ha! Yeah  that caught my attention  too. Now wait & watch for Red Wings fans to freak. I'm gonna make popcorn for that show :),"{'notes': '', 'label': ['1']}",
154,Tell them you want YouTube to quit fucking with things that no one wants fucked with.,"{'notes': '', 'label': ['1']}",
155,No  you just piss out anything your body won't absorb.,"{'notes': '', 'label': ['1']}",
156,Doh! dont you hate it when that happens  I keep meaning to take a backup myself,"{'notes': '', 'label': ['1']}",
157,Damn he's doing sneeks for Nike and Louis Vuitton? Dude's gonna be rolling in dollar...,"{'notes': '', 'label': ['1']}",
158,Mate it is. In Newcastle it was -1  down Bath -6  it's fucking brassic cold,"{'notes': '', 'label': ['1']}",
159,"hate text talking""","{'notes': '', 'label': ['1']}",
160,: And whilst on the subject  all Aussie drivers should be reminded KEEP LEFT UNLESS OVERTAKING. Damn middle lane owners club!,"{'notes': '', 'label': ['1']}",
161,less #damn-fridays  more #bad_wookie_pun,"{'notes': '', 'label': ['1']}",
162,women are fucking disgusting.,"{'notes': '', 'label': ['1']}",
163,you bet your sweet ass you will!,"{'notes': '', 'label': ['1']}",
164,dating a 4 year old? Damn. You're faster than me. I only caught 3 year olds name.,"{'notes': '', 'label': ['1']}",
165, will do when i get home  only time i heard it was warped though  fuck life!,"{'notes': '', 'label': ['1']}",
166,Man  why u live in NYC in that crazy ass weather. Move out to LA. It's nice EVERYDAY. NYC is soo over-rated! lol,"{'notes': '', 'label': ['1']}",
167,i got ur ticks  but yo ass ain't gonna come! lol,"{'notes': '', 'label': ['1']}",
168,Ugh  ok... I hate NYC also. Hmmm. thinking...We are having a Screening on the FOX Lot that week. Maybe u can roll through?,"{'notes': '', 'label': ['1']}",
169,stuff like building the forums is what I do when writing is kicking my ass  that's how I do it ;),"{'notes': '', 'label': ['1']}",
170,"Also  I caught that ""Gai-damn"" earlier  and I support it 100% ;)","{'notes': '', 'label': ['1']}",
171,gee  i'd hate to see what you say about the family ;),"{'notes': '', 'label': ['1']}",
172,dude dont tell me what to do thats not your place. i do what i want. just chill the fuck out and worry about yourself.,"{'notes': '', 'label': ['1']}",
173,damn fine! The snow is gone thank god!,"{'notes': '', 'label': ['1']}",
174,That sucks.  Life can't really be that bad  right?  Chocolate does always help.,"{'notes': '', 'label': ['1']}",
175,i hate you :P happy birthday dude  good to know your enjoying it,"{'notes': '', 'label': ['1']}",
176,thats a good question.  most lawyers HATE that stuff.,"{'notes': '', 'label': ['1']}",
177,YOU STUPID WHORE I HOPE YOU ARE IN YOUR HOUSE WHEN I BURN DOWN YOUR HOUSE YOU STUPID WHORE WHY WOULDN'T YOU GO TO PROM WITH ME,"{'notes': '', 'label': ['1']}",
178,oh guess who got an australian shephard puppy today. note: NOT ME. the other roommate. yeah. another. fucking. dog.,"{'notes': '', 'label': ['1']}",
179,ummm. Ya. That's pretty damn pimp.,"{'notes': '', 'label': ['1']}",
180,as much as I hate the winter  those pics are beautiful. We've had insane-o storms like that in MO. Sucks so bad  esp sans power,"{'notes': '', 'label': ['1']}",
181,got delayed.  your ass kicking will have to wait.,"{'notes': '', 'label': ['1']}",
182,I know it sucks  but I'm actually envious of you.  Though I have orientation for a tutoring program on the 14th.  Did I tell you?,"{'notes': '', 'label': ['1']}",
183,it was just a joke man..i wasnt taking the piss out of anything.,"{'notes': '', 'label': ['1']}",
184,i hate your face sounds EXACTLY like something i would say.also reminds me of a drunk girl trying to fight me and,"{'notes': '', 'label': ['1']}",
185,i was spanked but do not  only because it makes my kid behave worse  so doesn't work. not a lot does work-kinda sucks too.,"{'notes': '', 'label': ['1']}",
186,I've been messing around with some of the beta releases. It murders every other WP version (widget panel still sucks though).,"{'notes': '', 'label': ['1']}",
187,"Are you laughing your ass off with all these ""juicy"" twits?","{'notes': '', 'label': ['1']}",
188,yeah we do... damn this time difference *HUGS*,"{'notes': '', 'label': ['1']}",
189,OMG bundesliga and brasilian bossanova. This was worse than seeing your loved family dog licking his ass. I'm scarred,"{'notes': '', 'label': ['1']}",
190,hmm so thats suk your soul hate and reinvent you to get my dry cleaning hate?,"{'notes': '', 'label': ['1']}",
191,yep. I didn't think to go online and check calorie/fat count until AFTER dinner. Bummer.,"{'notes': '', 'label': ['1']}",
192,wow - mommy's little cheerleader! *must... not... take... the...piss......*,"{'notes': '', 'label': ['1']}",
193,lol.. that sucks..it's so nice in miami... catching that ocean breeze from the balcony....don't want to rub it in...lol,"{'notes': '', 'label': ['1']}",
194,oh hot damn!,"{'notes': '', 'label': ['1']}",
195,He can't hear you  his head's too far up his own ass.,"{'notes': '', 'label': ['1']}",
196,Prison Bitch is a sparkling addition to any resume.,"{'notes': '', 'label': ['1']}",
197,a constant receiver does not a giver make. Prepare to be Prison Bitch Blagojevich (new campaign slogan  it rhymes),"{'notes': '', 'label': ['1']}",
198,that sucks that you're sick. Sorry to hear that.,"{'notes': '', 'label': ['1']}",
199,No thanks. I don't want cable. I hate most TV shows. I really hate commercials. I get my news online. I'm good. :),"{'notes': '', 'label': ['1']}",
200,try telling your parents that you don't want to see them. see how well that fucking works out for you  yeah?,"{'notes': '', 'label': ['1']}",
201,Football. I hate it. It&#8217;s official  I&#8217;m bad luck.,"{'notes': '', 'label': ['1']}",
202,I fucking love Haunted.,"{'notes': '', 'label': ['1']}",
203,I didn't know you were an avid football watcher. Is that even football? I think it is. Fuck sports.,"{'notes': '', 'label': ['1']}",
204,lol kevin bought me damn near nothing and we dated for over 10 months. my life sucks.,"{'notes': '', 'label': ['1']}",
205,Yea it sucks!!,"{'notes': '', 'label': ['1']}",
206,Indeed. But the Collier conversation relationship head up your gleeful ass kumbaya stuff needs to be put out with the trash.,"{'notes': '', 'label': ['1']}",
207,yeah i am glad i have the next 2 days off.. I just have to get through xmas eve and the weekend afterwards. damn gift cards,"{'notes': '', 'label': ['1']}",
208,hot damn! did you get an iPhone too?,"{'notes': '', 'label': ['1']}",
209,aw  thanks. it's going better than yesterday  that's for damn sure. :-D,"{'notes': '', 'label': ['1']}",
210,no. i must have missed that one. damn. ;-),"{'notes': '', 'label': ['1']}",
211,have a safe flight.....damn now you make me want some jamba juice,"{'notes': '', 'label': ['1']}",
212,I got it for Wii  when I get back from my dad's we're gonna play and it will be so kick-ass.,"{'notes': '', 'label': ['1']}",
213,http://twitpic.com/xm6u - You have an inbox folder for CYA - Covering Your Ass?,"{'notes': '', 'label': ['1']}",
214,him and his damn tech stuff bwahaha,"{'notes': '', 'label': ['1']}",
215,i'm not emo. I'm fucking happy!,"{'notes': '', 'label': ['1']}",
216,well now I have to edit myself and you know how I hate that!,"{'notes': '', 'label': ['1']}",
217,if u get a stye is it from seeing a dog shitting or fucking?  And what do I do with my fingers?  Consult H if u need to.,"{'notes': '', 'label': ['1']}",
218,what does that say about me that I was laughing my ass of when I heard that. Rapping the word titties is just damn funny,"{'notes': '', 'label': ['1']}",
219,& I was there helping your ass pack to get on the plane. A tru friend - helping you track a sub sized weiner like fucking GPS,"{'notes': '', 'label': ['1']}",
220,you have officially been put on my bread stick mailing list. Fuck those rock republics and eat something already.,"{'notes': '', 'label': ['1']}",
221,i get that ha ha smart ass :p,"{'notes': '', 'label': ['1']}",
222,i feel pretty oh so pretty...i feel pretty and witty and gAY! Ha ha good times,"{'notes': '', 'label': ['1']}",
223,Yeah  I mean I know the plan and the creative are kick-ass. But sometimes clients have a warped view.,"{'notes': '', 'label': ['1']}",
224,Oh man  that sucks. @Vincentdooly can you help @dsmoore out?,"{'notes': '', 'label': ['1']}",
225,yea the weather sucks. At least you missed the 8 degree weather though lol.,"{'notes': '', 'label': ['1']}",
226,I do  but I'm an American. Hence  I'm a pussy.,"{'notes': '', 'label': ['1']}",
227,God.. that commute has to be a bitch dealing with.. driving back and forth from Raleigh to Fayetteville...,"{'notes': '', 'label': ['1']}",
228,I take full pride in being a nerd. Hahah.,"{'notes': '', 'label': ['1']}",
229,THAT'S AN UGLY ASS PICTURE!,"{'notes': '', 'label': ['1']}",
230,Pretty much  but now there will be less AIM errors! Weeeee  you can see that I don't type like a retard!,"{'notes': '', 'label': ['1']}",
231,My grandmother is a big bitch and my father's a fraking arsehole.,"{'notes': '', 'label': ['1']}",
232,you must be bored...you are a twitter whore today. ;),"{'notes': '', 'label': ['1']}",
233,man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.,"{'notes': '', 'label': ['1']}",
234,just don't eat a meal replacement bar.. I fucking threw up!!,"{'notes': '', 'label': ['1']}",
235,fuck duke!,"{'notes': '', 'label': ['1']}",
236,"what if their ""you"" really sucks? like  why be a wack person when you can be an imitation of a more cool person? i think this","{'notes': '', 'label': ['1']}",
237,2 weeks? how am I gonna live without money for 2 fucking weeks?,"{'notes': '', 'label': ['1']}",
238,Well get your ass busy!,"{'notes': '', 'label': ['1']}",
239,Hi new friend! I like your personality.super cool:) Yeah I forgot it is like 9 am there..that sucks!,"{'notes': '', 'label': ['1']}",
240,damn that sucks..I hope you are ok now,"{'notes': '', 'label': ['1']}",
241,haha! No. We have a new stand up board at work and we have barstools to sit on. I hate them!,"{'notes': '', 'label': ['1']}",
242,Excited that yr friends get to see yr show. I hate them. ;) No  rly  I do. .....Sad that tonite is last show.  Hard to say goodbye?,"{'notes': '', 'label': ['1']}",
243,"Thanks. Nothing just watching ""Jack ass"". Are you having fun doing nothing over there?","{'notes': '', 'label': ['1']}",
244,Well  that's upsetting. We can party it up over here. Jack's ass is quite enjoyable thank you,"{'notes': '', 'label': ['1']}",
245,Fuck. Well  you can for a low cost of 19.99 with shipping and handling. But that's only if you really want to.,"{'notes': '', 'label': ['1']}",
246,Fuck again. Call 1800QZAK. Then your problems will be solved. I might even get you a discount,"{'notes': '', 'label': ['1']}",
247,If you stay home to twitter and have a martini on NYE does that make you a loser?  don't answer that...  I don't want to know,"{'notes': '', 'label': ['1']}",
248,you're a fucking maniac.,"{'notes': '', 'label': ['1']}",
249,its ok decided not to go to fam party. going back to bed. wtf moon i hate you. wtf life. dead.,"{'notes': '', 'label': ['1']}",
250,HAHA WHYYYYY do you hate my school!? NOOOOOO :(:(:,"{'notes': '', 'label': ['1']}",
251,FUCK SUNDAY im super bummed.,"{'notes': '', 'label': ['1']}",
252,whelchers fuckin suck ass!,"{'notes': '', 'label': ['1']}",
253,some peoples drama just sucks!,"{'notes': '', 'label': ['1']}",
254,well that sux donkey dick. No interwebs is kinda a pain for ur work.,"{'notes': '', 'label': ['1']}",
255,Then she changed roles and she is a little less bitch from hell but still  her sting has too much barb.,"{'notes': '', 'label': ['1']}",
256,today feels like sunday.....damn lol,"{'notes': '', 'label': ['1']}",
257,Damn didnt even see that lol  : /,"{'notes': '', 'label': ['1']}",
258,HATE THAT...happened to me today i was like...YOUR WELCOME *cut eye* and walked back out lol,"{'notes': '', 'label': ['1']}",
259,i hate hate hate it with a passion!! lol...i know the calls are recorded i talk mad shyt down the phone LOL!!!,"{'notes': '', 'label': ['1']}",
260,don't you hate that?  Though I have so much product to make by the weekend I wish it was Tuesday.,"{'notes': '', 'label': ['1']}",
261,i think its a cultural fad.. starbucks coffee sucks and its wayy overpriced.,"{'notes': '', 'label': ['1']}",
262,i just deleted all the people that i have on my facebook off myspace Damn if everyone switched i could just delete the account,"{'notes': '', 'label': ['1']}",
263,no! I think UofA's navy jerseys on white pants rule.  And all red sucks. But seeing BYUs colors  I guess all red makes sense.,"{'notes': '', 'label': ['1']}",
264,here 2!Another big storm is blowing our way. I hope it waits until I'm home from work b4 it starts snowing. Hate driving in it!,"{'notes': '', 'label': ['1']}",
